L,a,b
58.72671447719305,171.85023974353624,76.57072227058522
80.29423709293661,169.38163158612457,84.95688427209774
106.0832164728858,163.01511937516577,96.87269903257304
134.76581326395657,156.69988590613778,111.2725535223755
162.5023015941866,146.46582027697437,122.21640581932567
183.60356068803998,142.40226276290375,131.20152263958127
205.14272930316025,137.52849355613643,137.0424434875946
233.27596582011836,132.62574406659536,143.84354007375626
